batch_size,num_workers,warmup_steps,measured_steps,setup_s,first_batch_s,mean_batch_s,p50_batch_s,p90_batch_s,p99_batch_s,batches_per_s,samples_per_s,approx_payload_mb,rss_before_mb,rss_after_setup_mb,rss_after_run_mb
32,16,4,64,36.54242071096087,51.99499006400583,0.1430008967518006,2.4829991161823273e-05,0.0003306156140752143,2.1600401587266225,6.992963140193793,223.77482048620138,12.00006103515625,1945.67578125,2605.75390625,2625.53515625
64,16,4,64,37.09720162500162,52.775283142982516,0.14645906184341584,4.7911511501297355e-05,0.0003984567709267145,2.702507204401771,6.827846549154689,436.9821791459001,24.0001220703125,2009.77734375,3167.99609375,3168.34375
128,16,4,64,37.44724256097106,54.64272421901114,0.29947715516846074,0.00011565349996089935,1.834565617801855,3.3997320998559,3.3391528627199754,427.41156642815685,48.000244140625,2710.2734375,3683.140625,3631.84765625
256,16,4,64,37.507595584960654,59.794041663990356,0.6120038595927326,0.0004183395067229867,2.074894210288767,2.806458519821171,1.6339766233916653,418.2980155882663,96.00048828125,3021.67578125,4166.953125,4166.703125
