batch_size,num_workers,warmup_steps,measured_steps,setup_s,first_batch_s,mean_batch_s,p50_batch_s,p90_batch_s,p99_batch_s,batches_per_s,samples_per_s,approx_payload_mb,rss_before_mb,rss_after_setup_mb,rss_after_run_mb
32,16,3,12,36.272816313954536,50.20427996397484,0.4758932659121153,9.104987839236856e-06,4.6486261999234565e-05,5.082420139473401,2.1013115158991833,67.24196850877387,12.00006103515625,1946.4140625,2599.0703125,2618.72265625
64,16,3,12,36.46798482298618,54.24536749202525,1.607649998428921e-05,1.210399204865098e-05,2.5410827947780494e-05,4.266037023626269e-05,62202.59390895107,3980966.0101728686,24.0001220703125,2010.37890625,3146.984375,3148.3828125
128,16,3,12,36.85522398300236,59.497978436993435,2.7342495741322637e-05,2.7082482120022178e-05,3.545369254425168e-05,3.973031183704734e-05,36573.10618096587,4681357.5911636315,48.000244140625,2593.51171875,3604.80078125,3625.23828125
