batch_size,num_workers,warmup_steps,measured_steps,setup_s,first_batch_s,mean_batch_s,p50_batch_s,p90_batch_s,p99_batch_s,batches_per_s,samples_per_s,approx_payload_mb,rss_before_mb,rss_after_setup_mb,rss_after_run_mb
128,4,2,6,36.73127921298146,49.01663423702121,0.8172151556937024,0.00013806752394884825,2.451455901027657,4.0483692108362455,1.2236679570034878,156.62949849644644,48.000244140625,1943.796875,2596.55078125,2615.5078125
128,8,2,6,37.7422338440083,49.17754895798862,0.20514469316306835,0.00040007149800658226,0.6149782129796222,0.8864827060722748,4.874608183040376,623.9498474291681,48.000244140625,2010.13671875,3080.421875,3081.87890625
256,4,2,6,37.474068575014826,53.85078091698233,1.4695619359845296,0.28416499597369693,4.10898299847031,7.4554085884301475,0.6804748922202128,174.2015724083745,96.00048828125,2471.203125,3620.71484375,3622.15234375
256,8,2,6,37.888821095984895,54.20657141698757,0.19850188116348969,4.387550870887935e-05,0.5954316064890008,1.1312687514146094,5.037735633227486,1289.6603221062364,96.00048828125,3165.09375,4082.30859375,4082.69921875
