batch_size,num_workers,warmup_steps,measured_steps,setup_s,first_batch_s,mean_batch_s,p50_batch_s,p90_batch_s,p99_batch_s,batches_per_s,samples_per_s,approx_payload_mb,rss_before_mb,rss_after_setup_mb,rss_after_run_mb
32,8,1,2,37.79664817202138,46.212360352044925,0.1902899525302928,0.1902899525302928,0.34247904572985133,0.376721591699752,5.255138207261926,168.16442263238164,12.00006103515625,1948.3046875,3069.6875,3087.72265625
64,8,1,2,38.27868931100238,48.16045025299536,3.330199979245663e-05,3.330199979245663e-05,4.266761243343353e-05,4.4774875277653337e-05,30028.22672008166,1921806.5100852263,24.0001220703125,2482.796875,3272.1796875,3272.53515625
128,8,1,2,37.848457683983725,50.261990907019936,4.6097993617877364e-05,4.6097993617877364e-05,4.664279404096305e-05,4.6765374136157334e-05,21692.91809724638,2776693.5164475366,48.000244140625,2657.44921875,3807.46875,3743.41015625
